Staff name,Twitter,Role
Bing,@meltedicecubes,"Project Lead, Art Director, Website Design"
Lambdadelta,@ulambdadelta,"Project Lead, Twitter Manager, Translator"
Jellybeans,@jbeanscat,"Project Manager, Twitter Manager & Illustrator, Accessibility Lead"
Phe,@Phe_Mist,"Submissions Manager, Writing Lead"
mmmonstruo,@mmmonstruo,Submission Manager
CTS,@CTS_1_,Submission Manager
mochiismo,@Mochiismo,"Copy Editor, Sensitive Reader"
Adrianne,@adrimarsink,Sensitive Reader
matcha_beaver,@matcha_beaver,Translator
loop_japduck,@loop_japduck,Translator
siba,@saltyrapperc8,Translator
Spur,@lurkn_ssprdyllc,Project Conceptualist
,,
Boat,-,Alt-Text Writer
Asahi 'Soft Kitty' Azumane,@MelDrakeVestie,Alt-Text Writer
,,
bon,@chiffles_,Web Dev
frenz,@Noimagining,Web Dev
,,
hana,@hanxiucao__,"Animator, Twitter Illustrator"
kaibo,@kaibo_san,Animator
Kay,@froggikayru,Animator
,,
Minji (minjastars),@minjastars,Sponsorship Coordinator
eeveetherin,@eeveetheerin,Sponsorship Coordinator
CTS,@CTS_1_,Sponsorship Coordinator
,,
cabbage,@cabbage_foryou,Twitter Illustrator
tootles,@tootlini,Twitter Illustrator
vercy,@vercities,Twitter Illustrator
elala,@elalalart,Twitter Illustrator
minipuffins,@minipuffins,Twitter Frame Illustrator